fecha,grano,sector,campaña,compras_semanales,total_comprado_acumulado,precio_hecho,a_fijar,fijado,saldo_a_fijar
05/06/2019,maíz,Exportador,19/20,176300,2819600,2482200,337400,15800,321600
05/06/2019,soja,Exportador,19/20,6500,113800,67300,46500,0,46500
05/06/2019,soja,Industria,19/20,190900,1455700,788100,667600,12000,655600
05/06/2019,trigo,Exportador,19/20,180600,2003600,1450400,553200,48100,505100
05/06/2019,trigo,Industria,19/20,3900,21600,20600,1000,400,600
12/06/2019,cebada cervecera,Exportador,19/20,800,8800,8800,0,0,0
12/06/2019,cebada forrajera,Exportador,19/20,200,3200,500,2700,0,2700
12/06/2019,girasol,Industria,19/20,8100,94300,65800,28500,8500,20000
12/06/2019,maíz,Exportador,19/20,430500,3468900,3023500,445400,23400,422000
12/06/2019,soja,Exportador,19/20,4400,129500,72400,57100,0,57100
12/06/2019,soja,Industria,19/20,213200,1791200,1052700,738500,13600,724900
12/06/2019,trigo,Exportador,19/20,89500,2194900,1537800,657100,49700,607400
12/06/2019,trigo,Industria,19/20,200,24000,23000,1000,400,600
19/06/2019,cebada cervecera,Exportador,19/20,800,8800,8800,0,0,0
19/06/2019,cebada forrajera,Exportador,19/20,200,3200,500,2700,0,2700
19/06/2019,girasol,Industria,19/20,8100,94300,65800,28500,8500,20000
19/06/2019,maíz,Exportador,19/20,430500,3468900,3023500,445400,23400,422000
19/06/2019,soja,Exportador,19/20,4400,129500,72400,57100,0,57100
19/06/2019,soja,Industria,19/20,213200,1791200,1052700,738500,13600,724900
19/06/2019,trigo,Exportador,19/20,89500,2194900,1537800,657100,49700,607400
19/06/2019,trigo,Industria,19/20,200,24000,23000,1000,400,600
26/06/2019,cebada cervecera,Exportador,19/20,1000,9800,9800,0,0,0
26/06/2019,cebada forrajera,Exportador,19/20,1500,4700,1800,2900,0,2900
26/06/2019,girasol,Industria,19/20,5600,99900,70200,29700,8500,21200
26/06/2019,maíz,Exportador,19/20,273400,3742300,3228700,513600,71000,442600
26/06/2019,soja,Exportador,19/20,4800,134300,75100,59200,0,59200
26/06/2019,soja,Industria,19/20,42500,1833700,1060000,773700,13700,760000
26/06/2019,trigo,Exportador,19/20,63900,2258800,1566200,692600,51000,641600
26/06/2019,trigo,Industria,19/20,2400,26400,25400,1000,400,600
03/07/2019,cebada cervecera,Exportador,19/20,1000,10800,10800,0,0,0
